uppercase_file,lowercase_file,action,keep_file,delete_file,reason,uppercase_time,lowercase_time,uppercase_size,lowercase_size,size_diff
docs/htm/L6/XF394.HTM,docs/htm/L6/XF394.htm,keep_lowercase,docs/htm/L6/XF394.htm,docs/htm/L6/XF394.HTM,lowercase newer (2025-09-23 17:13:35.911405 vs 2025-09-23 10:31:40.923077),2025-09-23T10:31:40.923077,2025-09-23T17:13:35.911405,3688,3482,206
docs/htm/L6/XF2974.HTM,docs/htm/L6/XF2974.htm,keep_lowercase,docs/htm/L6/XF2974.htm,docs/htm/L6/XF2974.HTM,lowercase newer (2025-09-23 17:13:35.911405 vs 2025-09-23 10:31:40.923077),2025-09-23T10:31:40.923077,2025-09-23T17:13:35.911405,3750,3544,206
docs/htm/L6/XF395.HTM,docs/htm/L6/XF395.htm,keep_lowercase,docs/htm/L6/XF395.htm,docs/htm/L6/XF395.HTM,lowercase newer (2025-09-23 17:13:35.911405 vs 2025-09-23 10:31:40.923077),2025-09-23T10:31:40.923077,2025-09-23T17:13:35.911405,3835,3670,165
docs/htm/L6/XF2975.HTM,docs/htm/L6/XF2975.htm,keep_lowercase,docs/htm/L6/XF2975.htm,docs/htm/L6/XF2975.HTM,lowercase newer (2025-09-23 17:13:35.911405 vs 2025-09-23 10:31:40.923077),2025-09-23T10:31:40.923077,2025-09-23T17:13:35.911405,3655,3490,165
docs/htm/L6/XF393.HTM,docs/htm/L6/XF393.htm,keep_lowercase,docs/htm/L6/XF393.htm,docs/htm/L6/XF393.HTM,lowercase newer (2025-09-23 17:13:35.911405 vs 2025-09-23 10:31:40.923077),2025-09-23T10:31:40.923077,2025-09-23T17:13:35.911405,3834,3669,165
docs/htm/L6/XF1832.HTM,docs/htm/L6/XF1832.htm,keep_lowercase,docs/htm/L6/XF1832.htm,docs/htm/L6/XF1832.HTM,lowercase newer (2025-09-23 17:13:35.907309 vs 2025-09-23 10:31:40.919199),2025-09-23T10:31:40.919199,2025-09-23T17:13:35.907309,3644,3479,165
docs/htm/L6/XF1029.HTM,docs/htm/L6/XF1029.htm,keep_lowercase,docs/htm/L6/XF1029.htm,docs/htm/L6/XF1029.HTM,lowercase newer (2025-09-23 17:13:35.903213 vs 2025-09-23 10:31:40.915321),2025-09-23T10:31:40.915321,2025-09-23T17:13:35.903213,3724,3477,247
docs/htm/L6/XF396.HTM,docs/htm/L6/XF396.htm,keep_lowercase,docs/htm/L6/XF396.htm,docs/htm/L6/XF396.HTM,lowercase newer (2025-09-23 17:13:35.911405 vs 2025-09-23 10:31:40.923077),2025-09-23T10:31:40.923077,2025-09-23T17:13:35.911405,4065,3941,124
docs/htm/L3/XF2989.HTM,docs/htm/L3/XF2989.htm,keep_lowercase,docs/htm/L3/XF2989.htm,docs/htm/L3/XF2989.HTM,lowercase newer (2025-09-23 17:13:35.854059 vs 2025-09-23 10:31:40.899808),2025-09-23T10:31:40.899808,2025-09-23T17:13:35.854059,3705,3540,165
docs/htm/L3/XF2976.HTM,docs/htm/L3/XF2976.htm,keep_lowercase,docs/htm/L3/XF2976.htm,docs/htm/L3/XF2976.HTM,lowercase newer (2025-09-23 17:13:35.854059 vs 2025-09-23 10:31:40.899808),2025-09-23T10:31:40.899808,2025-09-23T17:13:35.854059,3688,3482,206
