File,Media_References_Found,Action_Taken,Sample_Removed
"docs/htm/L2/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l2.mp3"
"docs/htm/L6/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l6.mp3"
"docs/htm/L6/extra.htm",1,"Found 1 missing media refs","/auntruth/mpg/1995fool.mpg"
"docs/htm/L3/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l3.mp3"
"docs/htm/L3/extra.htm",1,"Found 1 missing media refs","/auntruth/Nancy/Birthday.pps"
"docs/htm/L1/extraful.htm",4,"Found 4 missing media refs","/auntruth/jpg/hag1938.avi; /auntruth/jpg/hag1946.avi"
"docs/htm/L1/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l1.mp3"
"docs/htm/L1/extra.htm",4,"Found 4 missing media refs","/auntruth/mpg/1938hagb.mpg; /auntruth/mpg/1946hagb.mpg"
"docs/htm/L1/lastcall/index.htm",1,"Found 0 missing media refs",""
"docs/htm/L5/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l5.mp3"
"docs/htm/L0/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l0.mp3"
"docs/htm/L7/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l7.mp3"
"docs/htm/L4/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l4.mp3"
"docs/htm/L9/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l9.mp3"
"docs/htm/L8/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l8.mp3"
"docs/new/htm/L2/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l2.mp3"
"docs/new/htm/L6/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l6.mp3"
"docs/new/htm/L6/extra.htm",1,"Found 1 missing media refs","/auntruth/mpg/1995fool.mpg"
"docs/new/htm/L3/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l3.mp3"
"docs/new/htm/L3/extra.htm",1,"Found 1 missing media refs","/auntruth/Nancy/Birthday.pps"
"docs/new/htm/L1/extraful.htm",4,"Found 4 missing media refs","/auntruth/jpg/hag1938.avi; /auntruth/jpg/hag1946.avi"
"docs/new/htm/L1/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l1.mp3"
"docs/new/htm/L1/extra.htm",4,"Found 4 missing media refs","/auntruth/mpg/1938hagb.mpg; /auntruth/mpg/1946hagb.mpg"
"docs/new/htm/L5/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l5.mp3"
"docs/new/htm/L0/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l0.mp3"
"docs/new/htm/L7/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l7.mp3"
"docs/new/htm/L4/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l4.mp3"
"docs/new/htm/L9/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l9.mp3"
"docs/new/htm/L8/index.htm",1,"Found 1 missing media refs","/auntruth/mp3/l8.mp3"
